table,column,definition
mango_batch,loss_path_batch_pct,"Whole-chain pathological loss (rot), percent of packinghouse entry weight. DEFINITION: sum of kg lost across BOTH chain nodes / packinghouse starting_wt_kg x 100. NOT the sum of the two node percentages (off by 0.535 pp) and NOT their mean (off by 5.241 pp). Kilograms add along a chain; percentages do not, because each node measures against a different denominator."
mango_batch,loss_phys_batch_pct,"Same definition, physiological (water) loss."
mango_batch,starting_wt_kg,"Packinghouse entry weight, the single fixed base for all batch percentages. Required for the balance check. Fell 10.7% from 2023 to 2024; the data cannot say why. Do not drop."
mango_batch,price_packinghouse_php_kg,Price at the packinghouse node. Market-set before harvest and driven by season (r = 0.98). NOT causally linked to loss: the marginal price-rot correlation of +0.75 collapses to zero once season is partialled out. Required for the balance check.
mango_batch,loss_path_php,"Peso value of rot = path_kg_batch x price. CONDITIONAL COLUMN: valid only for contrasts where mango_balance.peso_licensed is TRUE. Across years it returns -21.7%, of which only -15.9% is postharvest; the rest is a 10.7% fall in batch weight and a 5.6% rise in price. Across season it is worse. See mango_balance first."
mango_batch,loss_phys_php,Same conditional status as loss_path_php.
mango_batch,hwt_temp_c,"STRUCTURAL NA when hot_water_treated = No. Untreated batches had no protocol applied; the blank is a fact, not missing data. Do not impute or filter on it. No dose-response detected within the 52-55 C / 5-10 min window."
mango_batch,hwt_duration_min,"Structural NA, as hwt_temp_c."
mango_balance,peso_licensed,TRUE if mean weight and mean price are within 5% across the groups of this contrast. Check this before using any _php column on that axis. hot_water_treated passes; year and season both fail.
mango_balance,price_ratio,Group mean price divided by the reference group mean. season = 1.768 (wet-season fruit costs 76.8% more than dry). That is 35x the treatment contrast gap and past the ~1.33 annihilation threshold. A peso figure split by season multiplies the season price effect by the season rot effect and reproduces the spurious price-rot association of item 9.
mango_rows,chain_node,"packinghouse or transport. Two rows per batch_id. Rows within a batch are NOT independent: treatment is assigned per batch. True n = 48 batches, not 96 rows. Do not run hypothesis tests on this table."
mango_rows,wt_corrected,"TRUE for 3 rows whose ending_wt_kg exceeded starting_wt_kg and was reconstructed from the loss columns (MB2023-007, MB2023-015, MB2024-011, packinghouse node)."
mango_rows,rh_estimated,"TRUE for 5 rows whose ambient_rh_pct was filled with the column median (78.9). The null-variable result was re-verified on the 91 measured rows only and held: RH r = +0.12 to +0.21 against both loss types, dwell time reverses sign between years (+0.21 to -0.38), ambient temp r = -0.19 to -0.27. None approach the 4.119 pp season or 2.471 pp treatment benchmarks."
